image,GT,PSNR,SSIM,MAE,LPIPS,NIQE
low00690.png,normal00690.png,27.00663746084509,0.8747529983520508,0.037126123905181885,0.1632687896490097,4.672332024623808
low00691.png,normal00691.png,26.088632795756222,0.8470878005027771,0.03977042809128761,0.1675938218832016,4.6502593149987765
low00692.png,normal00692.png,21.62755310714587,0.8476352691650391,0.07608623802661896,0.12720665335655212,4.558716151410703
low00693.png,normal00693.png,23.519378989694275,0.8643579483032227,0.058191537857055664,0.12150256335735321,4.437104012034984
low00694.png,normal00694.png,21.966357669662013,0.8771736025810242,0.07091908156871796,0.13867436349391937,4.399093963759776
low00695.png,normal00695.png,20.883288343769777,0.8746960759162903,0.08100313693284988,0.14140953123569489,4.534413708768651
low00696.png,normal00696.png,23.734308451444104,0.8341400027275085,0.05124776437878609,0.2128625363111496,4.04621373817838
low00697.png,normal00697.png,23.568349033642143,0.83098965883255,0.05250784382224083,0.212793231010437,3.8850299491969675
low00698.png,normal00698.png,24.01720263594788,0.8878629803657532,0.056638315320014954,0.1392686814069748,4.223923358574939
low00699.png,normal00699.png,23.705450004263877,0.8687528967857361,0.0576980859041214,0.1471407115459442,4.079162097264633
low00700.png,normal00700.png,21.12406394506019,0.8139402270317078,0.07265400886535645,0.0943465530872345,4.678785603693056
low00701.png,normal00701.png,21.279805770489055,0.8223219513893127,0.07144439220428467,0.09212087094783783,4.715104224544555
low00702.png,normal00702.png,26.20083088934985,0.8889958262443542,0.03485197573900223,0.20112678408622742,3.9996411965752205
low00703.png,normal00703.png,26.282357409456438,0.8882532119750977,0.03622095659375191,0.19706499576568604,3.9544230937226375
low00704.png,normal00704.png,26.272393507401638,0.8879866600036621,0.03516779839992523,0.20475447177886963,3.8797197551607376
low00705.png,normal00705.png,27.556648635183105,0.8679366707801819,0.02939893677830696,0.218403622508049,4.5793495131850825
low00706.png,normal00706.png,27.03948165254311,0.8690435886383057,0.033814139664173126,0.22004836797714233,4.478763908608159
low00707.png,normal00707.png,26.798876326263734,0.8683345913887024,0.036087315529584885,0.21567927300930023,4.913625190427495
low00708.png,normal00708.png,21.332024982664528,0.8441757559776306,0.0770898163318634,0.19695930182933807,4.103147856375968
low00709.png,normal00709.png,20.900483243977398,0.8445806503295898,0.08212091773748398,0.19334641098976135,4.419457654454399
low00710.png,normal00710.png,23.965447740485253,0.9271448254585266,0.05621686205267906,0.10183888673782349,5.677870460526046
low00711.png,normal00711.png,24.020354316583035,0.9276084899902344,0.05589604377746582,0.10160479694604874,5.488011219826785
low00712.png,normal00712.png,17.665749857681337,0.9058942794799805,0.1275838315486908,0.0979221984744072,5.5530468063667
low00713.png,normal00713.png,17.38296634317594,0.9026370644569397,0.13190490007400513,0.10046450793743134,5.807789840975863
low00714.png,normal00714.png,25.327586698731967,0.8724705576896667,0.04251815751194954,0.12828750908374786,3.06787363182721
low00715.png,normal00715.png,25.596479798211305,0.8752947449684143,0.04111241176724434,0.12921269237995148,3.218443148441615
low00716.png,normal00716.png,28.85404500410148,0.9290267825126648,0.028594691306352615,0.11148856580257416,4.411592009135668
low00717.png,normal00717.png,28.48173606433024,0.8971158862113953,0.026606755331158638,0.1909734159708023,4.928168425095852
low00718.png,normal00718.png,21.934008278589026,0.855168342590332,0.05545646697282791,0.1835341900587082,3.595779080312718
low00719.png,normal00719.png,21.555201907962672,0.8549198508262634,0.056889377534389496,0.18589556217193604,3.353896801139016
low00720.png,normal00720.png,14.325090693598204,0.7956380844116211,0.16726882755756378,0.14521867036819458,4.110845337607148
low00721.png,normal00721.png,14.28709829143203,0.794243335723877,0.16697479784488678,0.1499122828245163,4.24236847619101
low00722.png,normal00722.png,19.336006810718715,0.8656274676322937,0.09160775691270828,0.1297447681427002,3.309653724907148
low00723.png,normal00723.png,18.94977630337315,0.8601370453834534,0.0966717004776001,0.13147826492786407,3.3265551036354584
low00724.png,normal00724.png,14.670834527767909,0.7092905044555664,0.1635536253452301,0.38300520181655884,3.2754130414814737
low00725.png,normal00725.png,14.607275551314975,0.7231442332267761,0.16514764726161957,0.3828917145729065,3.222768323975932
low00726.png,normal00726.png,20.91538305359237,0.8069160580635071,0.06940116733312607,0.3753160536289215,4.361509068448995
low00727.png,normal00727.png,20.70934630681148,0.8061241507530212,0.07141857594251633,0.3746427893638611,4.377599228549744
low00728.png,normal00728.png,20.66503332863558,0.7711246609687805,0.0716577023267746,0.38202136754989624,4.319078203894298
low00729.png,normal00729.png,20.97090901553221,0.9049348831176758,0.079645536839962,0.13516342639923096,4.776798115236964
low00730.png,normal00730.png,21.398222324161495,0.9087590575218201,0.0756903737783432,0.13138583302497864,4.871659252740149
low00731.png,normal00731.png,16.069186967773746,0.8646245002746582,0.1413160115480423,0.18327519297599792,3.7762755988949537
